time,iteration,loss,test accuracy,test end,train accuracy,train end
0m 43s (- -1m 16s),1000,3.883056073285165,2.9000000000000004,100.0,3.1,100.0
1m 7s (- -2m 52s),2000,3.73237567905698,8.4,90.3,9.3,90.4
1m 25s (- -2m 34s),3000,3.4953343403147215,13.3,92.5,10.8,93.60000000000001
1m 48s (- -2m 11s),4000,3.1206365816311594,19.5,100.0,21.5,100.0
2m 6s (- -3m 53s),5000,2.771004538624339,25.2,98.9,26.8,99.4
2m 28s (- -3m 31s),6000,2.5708696929594232,31.0,97.7,32.300000000000004,97.5
2m 47s (- -3m 12s),7000,2.4127178407620016,35.699999999999996,91.2,36.7,91.8
3m 10s (- -4m 49s),8000,2.2942420161009367,36.3,87.4,39.0,86.5
3m 28s (- -4m 31s),9000,2.255979205154972,37.6,98.5,40.5,99.1
3m 50s (- -4m 9s),10000,2.2062142828810365,37.2,97.7,38.3,98.1
4m 9s (- -5m 50s),11000,2.2143043694939175,37.8,98.3,40.1,98.3
4m 32s (- -5m 27s),12000,2.2783097119395395,39.4,92.9,43.0,93.7
4m 51s (- -5m 8s),13000,2.1627647888581563,42.3,86.7,45.800000000000004,86.4
5m 13s (- -6m 46s),14000,2.119264706813208,41.099999999999994,94.39999999999999,44.800000000000004,94.6
5m 32s (- -6m 27s),15000,2.098757693484879,45.4,94.0,47.699999999999996,94.89999999999999
5m 56s (- -6m 3s),16000,2.108830473192118,43.4,96.6,46.800000000000004,95.89999999999999
6m 14s (- -7m 45s),17000,2.042004487541045,44.3,98.6,46.300000000000004,98.6
6m 36s (- -7m 23s),18000,2.104777388166446,45.5,98.7,49.3,98.8
6m 56s (- -7m 3s),19000,2.0714299950412993,43.9,86.3,46.7,86.1
7m 19s (- -8m 40s),20000,2.1509738719459133,42.0,93.10000000000001,44.6,93.2
7m 38s (- -8m 21s),21000,2.0126675792116018,47.9,87.2,54.7,87.1
8m 1s (- -9m 58s),22000,2.0391334732850583,49.4,97.0,54.7,97.0
8m 20s (- -9m 39s),23000,2.0111873908342197,46.800000000000004,93.7,52.0,92.80000000000001
8m 43s (- -9m 16s),24000,1.9869391883373602,48.1,94.39999999999999,51.5,94.69999999999999
9m 0s (- -10m 59s),25000,1.9867908229359188,46.6,99.8,49.3,99.6
9m 22s (- -10m 37s),26000,1.9261274096276315,51.300000000000004,95.6,54.900000000000006,94.3
9m 41s (- -10m 18s),27000,2.0062549441613586,50.8,94.69999999999999,53.7,95.0
10m 3s (- -11m 56s),28000,1.992148151757741,50.7,94.5,54.300000000000004,92.4
10m 22s (- -11m 37s),29000,1.8634065259301567,52.6,97.5,57.3,97.7
10m 45s (- -11m 14s),30000,1.9734210365331688,54.900000000000006,96.39999999999999,57.599999999999994,96.0
11m 4s (- -12m 55s),31000,1.9463585604904925,52.2,94.69999999999999,56.699999999999996,94.5
11m 26s (- -12m 33s),32000,1.9490478023937583,51.6,95.5,56.3,95.39999999999999
11m 44s (- -12m 15s),33000,1.858437928045067,53.300000000000004,95.8,57.99999999999999,96.7
12m 7s (- -13m 52s),34000,1.98891622189455,55.800000000000004,98.1,60.8,97.6
12m 26s (- -13m 33s),35000,1.9856172878914276,52.6,89.3,56.99999999999999,88.8
12m 50s (- -13m 9s),36000,1.850155552482654,52.400000000000006,88.3,56.8,89.4
13m 9s (- -14m 51s),37000,1.9236668237867114,56.00000000000001,98.1,59.3,98.3
13m 31s (- -14m 28s),38000,1.9391144394570916,58.199999999999996,97.39999999999999,60.3,96.7
13m 49s (- -14m 10s),39000,1.8497505643077072,55.800000000000004,98.1,58.9,98.5
14m 11s (- -15m 48s),40000,1.8663320706593998,56.8,97.7,59.599999999999994,97.1
14m 29s (- -15m 30s),41000,1.8882898376299633,57.3,95.89999999999999,57.8,96.3
14m 52s (- -15m 7s),42000,1.9090528517206273,60.3,92.80000000000001,63.2,93.10000000000001
15m 12s (- -16m 47s),43000,1.817195708501548,59.199999999999996,89.60000000000001,59.099999999999994,88.2
15m 34s (- -16m 25s),44000,1.8936048958946965,61.5,94.0,61.8,93.30000000000001
15m 53s (- -16m 6s),45000,1.8584859199277126,59.199999999999996,98.3,62.4,97.5
16m 17s (- -17m 42s),46000,1.8513195892316354,58.5,95.6,63.1,94.69999999999999
16m 36s (- -17m 23s),47000,1.8793597689200834,60.9,94.3,64.2,92.80000000000001
17m 0s (- -18m 59s),48000,1.8595931613113192,60.099999999999994,90.5,62.8,91.5
17m 18s (- -18m 41s),49000,1.841297547098196,60.8,97.0,62.4,97.39999999999999
17m 36s (- -18m 23s),50000,1.8816472595518614,59.3,97.89999999999999,61.3,97.2
18m 0s (- -19m 59s),51000,1.8369365164037665,63.3,96.39999999999999,64.4,96.7
18m 19s (- -19m 40s),52000,1.8622984716788709,59.0,91.0,63.800000000000004,91.9
18m 41s (- -19m 18s),53000,1.837741528143394,63.4,94.1,63.9,94.0
19m 4s (- -20m 55s),54000,1.837226182318714,62.0,96.8,68.60000000000001,96.8
19m 23s (- -20m 36s),55000,1.7920356352266282,64.1,95.5,65.5,96.3
19m 41s (- -20m 18s),56000,1.8833604832819928,64.1,97.0,68.10000000000001,96.89999999999999
20m 3s (- -21m 56s),57000,1.8369991828893453,58.199999999999996,98.6,61.8,99.0
20m 27s (- -21m 32s),58000,1.8716320080710442,65.60000000000001,94.0,68.2,94.69999999999999
20m 45s (- -21m 14s),59000,1.745715585601435,66.5,98.1,69.1,97.39999999999999
21m 3s (- -22m 56s),60000,1.748954706113806,64.3,94.89999999999999,66.0,96.1
21m 25s (- -22m 34s),61000,1.8690988613265287,64.8,96.5,66.7,95.7
21m 44s (- -22m 15s),62000,1.8394205290958745,63.2,91.8,65.9,92.10000000000001
