time,iteration,loss,test accuracy,test end,train accuracy,train end
0m 44s (- -1m 15s),1000,3.906789539195134,0.0,100.0,0.0,100.0
1m 25s (- -2m 34s),2000,3.8035641658977566,1.6,100.0,2.1,100.0
1m 59s (- -2m 0s),3000,3.6656719533596,8.3,68.60000000000001,7.000000000000001,68.7
2m 43s (- -3m 16s),4000,3.400899274048545,9.3,100.0,9.3,100.0
3m 22s (- -4m 37s),5000,3.214466829345545,12.3,97.5,13.5,97.8
4m 6s (- -5m 53s),6000,3.0059100837823496,22.400000000000002,98.7,21.2,97.8
4m 38s (- -5m 21s),7000,2.7603809262834123,25.3,95.39999999999999,25.0,96.1
5m 27s (- -6m 32s),8000,2.735979902567887,27.200000000000003,92.4,30.0,91.5
5m 59s (- -6m 1s),9000,2.4942047057940817,27.0,98.5,29.099999999999998,98.2
6m 46s (- -7m 13s),10000,2.4824654200566454,28.1,86.6,29.7,86.6
7m 24s (- -8m 35s),11000,2.430743972125448,29.299999999999997,94.8,31.2,94.89999999999999
8m 13s (- -9m 46s),12000,2.393798109763036,28.7,95.39999999999999,30.4,95.89999999999999
8m 45s (- -9m 14s),13000,2.3263082577266987,31.5,95.89999999999999,33.5,96.1
9m 33s (- -10m 26s),14000,2.2653589742676408,31.4,94.8,34.8,95.0
10m 9s (- -11m 51s),15000,2.330371480439297,33.300000000000004,87.5,34.2,88.4
10m 50s (- -11m 9s),16000,2.2690325945179093,33.900000000000006,98.1,35.8,97.89999999999999
11m 30s (- -12m 29s),17000,2.2594103669923773,33.1,92.60000000000001,37.5,92.2
12m 17s (- -13m 42s),18000,2.1706894974630484,35.3,91.7,39.0,92.10000000000001
12m 52s (- -13m 7s),19000,2.2572400644029256,35.6,91.8,37.9,91.8
13m 34s (- -14m 25s),20000,2.2379198852183007,38.3,96.0,38.4,96.6
14m 18s (- -15m 41s),21000,2.141391449765226,38.6,94.6,43.0,94.8
14m 59s (- -15m 0s),22000,2.1664970547544122,37.8,94.5,41.8,95.7
15m 38s (- -16m 21s),23000,2.0930962869170164,40.2,93.2,42.5,95.19999999999999
16m 20s (- -17m 39s),24000,2.0943809513972775,39.0,92.4,45.300000000000004,91.5
17m 5s (- -18m 54s),25000,1.9910245342696595,39.6,98.1,44.800000000000004,98.2
17m 37s (- -18m 22s),26000,2.1270264613509697,41.099999999999994,96.1,47.0,96.5
18m 26s (- -19m 33s),27000,2.063833438790833,46.9,97.3,49.1,97.8
19m 0s (- -20m 59s),28000,2.0721875299557233,43.9,94.6,48.4,95.39999999999999
19m 44s (- -20m 15s),29000,2.0643541675252637,41.4,92.10000000000001,46.0,91.0
20m 23s (- -21m 36s),30000,2.0700519834155333,44.5,94.3,49.0,94.3
21m 10s (- -22m 49s),31000,2.0760215126117947,47.4,95.5,51.5,95.5
21m 42s (- -22m 17s),32000,2.024400973794848,47.599999999999994,90.2,51.4,91.0
22m 29s (- -23m 30s),33000,1.9941887267328637,48.199999999999996,93.5,51.7,92.30000000000001
23m 12s (- -24m 48s),34000,2.0426357565622464,46.5,92.2,51.1,92.60000000000001
23m 49s (- -24m 10s),35000,1.9882782584000234,50.2,93.8,53.0,94.8
24m 25s (- -25m 34s),36000,1.9815483655830235,47.0,96.7,54.6,97.0
25m 13s (- -26m 46s),37000,1.963877261770672,51.0,94.5,55.7,94.0
25m 45s (- -26m 14s),38000,1.9513824915285984,48.8,97.5,51.2,97.8
26m 28s (- -27m 31s),39000,1.9114846121996834,53.5,97.39999999999999,57.099999999999994,97.7
27m 6s (- -28m 53s),40000,1.9852588804873923,51.7,94.69999999999999,56.8,94.69999999999999
27m 53s (- -28m 6s),41000,1.935588376338106,53.400000000000006,90.4,55.900000000000006,90.2
28m 26s (- -29m 34s),42000,1.9171323590263847,49.8,89.8,52.900000000000006,90.2
29m 13s (- -30m 46s),43000,1.9180549951746892,52.0,94.3,57.099999999999994,93.8
29m 48s (- -30m 11s),44000,1.919527848428601,53.800000000000004,94.89999999999999,57.9,93.89999999999999
30m 29s (- -31m 30s),45000,1.9514948174939475,54.1,94.0,57.8,94.1
31m 11s (- -32m 49s),46000,1.873927548733658,58.599999999999994,94.19999999999999,62.9,94.0
31m 53s (- -32m 6s),47000,1.9335077231502138,53.0,95.8,57.49999999999999,95.39999999999999
32m 30s (- -33m 29s),48000,1.8487024258248794,52.400000000000006,94.1,54.50000000000001,93.0
33m 13s (- -34m 46s),49000,1.8887869525662166,56.2,88.8,60.5,88.0
33m 59s (- -34m 0s),50000,1.8841659598195382,56.89999999999999,97.2,59.5,96.89999999999999
34m 32s (- -35m 27s),51000,1.9588767425821925,56.3,96.8,60.099999999999994,96.8
35m 15s (- -36m 45s),52000,1.9660849435640833,59.4,96.5,63.2,96.5
35m 57s (- -36m 2s),53000,1.8874305495702457,56.599999999999994,93.30000000000001,59.699999999999996,91.7
36m 33s (- -37m 26s),54000,1.8463628399612426,59.0,95.1,62.1,96.3
37m 17s (- -38m 42s),55000,1.9120089461274732,59.4,91.4,59.599999999999994,92.4
38m 4s (- -39m 55s),56000,1.9585334885352217,60.5,91.5,63.4,91.60000000000001
38m 42s (- -39m 17s),57000,1.9735686384015536,59.699999999999996,93.60000000000001,62.5,92.60000000000001
39m 16s (- -40m 43s),58000,1.8602904964526323,61.5,93.60000000000001,63.1,95.0
40m 3s (- -41m 56s),59000,1.8873074230819573,61.5,93.8,63.6,93.89999999999999
40m 44s (- -41m 15s),60000,1.9273159126433081,58.599999999999994,92.5,63.9,91.9
41m 21s (- -42m 38s),61000,1.8818843817728688,59.699999999999996,96.6,63.1,96.1
42m 5s (- -43m 54s),62000,1.9104783311891222,58.699999999999996,95.6,60.0,96.1
42m 44s (- -43m 15s),63000,1.8504743523441227,63.6,93.5,65.3,93.4
43m 28s (- -44m 31s),64000,1.8822492577184413,63.0,93.4,68.60000000000001,94.3
44m 8s (- -45m 51s),65000,1.8150619618572923,61.4,92.80000000000001,65.60000000000001,93.30000000000001
44m 53s (- -45m 6s),66000,1.8329439243079644,63.1,96.7,66.4,96.7
45m 26s (- -46m 33s),67000,1.9161159372586072,61.5,93.4,64.60000000000001,93.30000000000001
46m 13s (- -47m 46s),68000,1.8046766612793592,63.2,94.69999999999999,66.60000000000001,93.89999999999999
46m 51s (- -47m 8s),69000,1.7636840934461142,62.0,88.4,64.60000000000001,88.1
47m 34s (- -48m 25s),70000,1.825310458330414,61.8,91.9,67.4,91.9
48m 9s (- -49m 50s),71000,1.8535079726871333,62.5,92.4,65.0,90.7
48m 59s (- -49m 0s),72000,1.8684709013461316,64.0,93.2,65.7,93.7
49m 28s (- -50m 31s),73000,1.8655272001550363,64.0,95.3,66.60000000000001,95.19999999999999
50m 15s (- -51m 44s),74000,1.8380069752108947,63.3,89.2,65.60000000000001,88.1
50m 55s (- -51m 4s),75000,1.8269531014496292,66.4,95.0,69.89999999999999,94.89999999999999
51m 35s (- -52m 24s),76000,1.91140717612904,66.10000000000001,95.0,67.80000000000001,94.1
52m 19s (- -53m 40s),77000,1.8055197432994268,61.6,94.8,65.9,95.39999999999999
52m 58s (- -53m 1s),78000,1.8354247936679842,63.9,94.6,67.80000000000001,94.3
53m 41s (- -54m 18s),79000,1.8519099916097692,64.5,96.0,70.6,96.7
54m 17s (- -55m 42s),80000,1.88111200870628,68.5,95.19999999999999,69.39999999999999,95.1
55m 2s (- -56m 57s),81000,1.8222376061187677,65.5,92.60000000000001,69.19999999999999,93.60000000000001
55m 40s (- -56m 19s),82000,1.7845252514486698,66.2,97.8,69.3,98.3
56m 21s (- -57m 38s),83000,1.7537868320747392,65.0,93.30000000000001,69.1,94.1
56m 58s (- -57m 1s),84000,1.8208908426287322,63.3,93.7,67.5,94.89999999999999
57m 42s (- -58m 17s),85000,1.8211415306821113,65.10000000000001,94.19999999999999,68.4,94.6
58m 21s (- -59m 38s),86000,1.7743954314626342,65.3,94.69999999999999,69.6,95.5
58m 59s (- -59m 0s),87000,1.820327129629715,65.0,93.2,67.30000000000001,93.60000000000001
59m 44s (- -60m 15s),88000,1.8788878668437734,66.7,98.3,71.1,97.89999999999999
60m 21s (- -61m 38s),89000,1.7921437585323403,62.4,95.39999999999999,66.2,96.0
61m 2s (- -62m 57s),90000,1.8230345761404558,60.8,94.6,64.1,95.7
61m 44s (- -62m 15s),91000,1.8888624915213819,62.6,93.2,68.10000000000001,95.3
62m 28s (- -63m 31s),92000,1.7820935214526248,63.0,92.10000000000001,67.30000000000001,90.8
63m 5s (- -64m 55s),93000,1.824096726371785,65.7,93.0,66.60000000000001,93.60000000000001
63m 48s (- -64m 11s),94000,1.879342113248081,63.3,93.2,67.7,94.1
64m 33s (- -65m 26s),95000,1.820321411635552,64.9,95.0,68.2,94.8
65m 5s (- -66m 54s),96000,1.822523448265905,66.3,96.7,70.7,96.2
65m 49s (- -66m 10s),97000,1.7763788593976075,68.5,93.89999999999999,70.0,94.0
66m 32s (- -67m 27s),98000,1.8076098130884377,66.3,95.1,68.0,94.5
