b,rank,sketch,p,cost,time,regex,gt
121,b,?,"startwith(repeat(<low>,8)): 153.52",153.52,0.487,(([a-z]){8}).*,false
105,b,?,timeout,999999.0,40,null,false
87,b,?,contain(<num1-9>): 76.98,76.98,0.034,.*([1-9]).*,false
64,b,?,startwith(<low>): 76.9,76.9,0.038,([a-z]).*,false
82,b,?,timeout,999999.0,40,null,false
109,b,?,timeout,999999.0,40,null,false
37,b,?,timeout,999999.0,40,null,false
123,b,?,"startwith(or(<let>,<_>)): 153.68",153.68,0.996,((([a-zA-Z])|([_]))).*,false
96,b,?,<let>: 0.0,0.0,0.0,[a-zA-Z],false
32,b,?,"concat(<num>,endwith(<num1-9>)): 153.48000000000002",153.48000000000002,0.22,([0-9])(.*([1-9])),false
7,b,?,timeout,999999.0,40,null,false
110,b,?,startwith(<{>): 76.9,76.9,0.034,([{]).*,true
61,b,?,"repeatatleast(notcc(<I>),11): 153.66",153.66,3.582,"([^I]){11,}",false
14,b,?,timeout,999999.0,40,null,false
11,b,?,"repeatatleast(notcc(<D>),1): 153.66",153.66,13.917,"([^D]){1,}",false
119,b,?,startwith(<num1-9>): 76.9,76.9,0.116,([1-9]).*,false
10,b,?,"contain(or(<let>,<3>)): 153.76",153.76,0.521,.*((([a-zA-Z])|([3]))).*,false
114,b,?,endwith(<num1-9>): 76.94,76.94,0.041,.*([1-9]),false
104,b,?,contain(<cap>): 76.98,76.98,0.06,.*([A-Z]).*,false
31,b,?,endwith(<d>): 76.94,76.94,0.048,.*([d]),false
47,b,?,timeout,999999.0,40,null,false
6,b,?,timeout,999999.0,40,null,false
107,b,?,timeout,999999.0,40,null,false
73,b,?,timeout,999999.0,40,null,false
120,b,?,"concat(<let>,contain(<h>)): 153.52",153.52,20.254,([a-zA-Z])(.*([h]).*),false
72,b,?,"repeat(notcc(<f>),10): 153.62",153.62,5.379,([^f]){10},false
16,b,?,"concat(<num1-9>,contain(<0>)): 153.52",153.52,0.563,([1-9])(.*([0]).*),false
86,b,?,timeout,999999.0,40,null,false
94,b,?,timeout,999999.0,40,null,false
23,b,?,timeout,999999.0,40,null,false
13,b,?,timeout,999999.0,40,null,false
62,b,?,endwith(<num>): 76.94,76.94,0.035,.*([0-9]),false
65,b,?,timeout,999999.0,40,null,false
113,b,?,endwith(<0>): 76.94,76.94,0.045,.*([0]),false
29,b,?,timeout,999999.0,40,null,false
124,b,?,startwith(<G>): 76.9,76.9,0.042,([G]).*,false
19,b,?,timeout,999999.0,40,null,false
5,b,?,timeout,999999.0,40,null,false
85,b,?,timeout,999999.0,40,null,false
116,b,?,timeout,999999.0,40,null,false
21,b,?,timeout,999999.0,40,null,false
9,b,?,timeout,999999.0,40,null,false
58,b,?,star(<cap>): 76.74,76.74,0.026,([A-Z])*,false
56,b,?,contain(<N>): 76.98,76.98,0.048,.*([N]).*,false
91,b,?,timeout,999999.0,40,null,false
117,b,?,"contain(or(<?>,<c>)): 153.76",153.76,1.198,.*((([?])|([c]))).*,false
92,b,?,timeout,999999.0,40,null,false
57,b,?,timeout,999999.0,40,null,false
53,b,?,contain(<b>): 76.98,76.98,0.048,.*([b]).*,false
33,b,?,endwith(<cap>): 76.94,76.94,0.046,.*([A-Z]),false
70,b,?,"repeatatleast(notcc(<7>),1): 153.66",153.66,2.844,"([^7]){1,}",false
102,b,?,"repeatrange(notcc(<G>),1,2): 153.7",153.7,1.621,"([^G]){1,2}",false
40,b,?,endwith(<num1-9>): 76.94,76.94,0.036,.*([1-9]),false
74,b,?,timeout,999999.0,40,null,false
60,b,?,"repeatrange(notcc(<&>),5,25): 153.7",153.7,2.34,"([^&]){5,25}",false
68,b,?,timeout,999999.0,40,null,false
39,b,?,timeout,999999.0,40,null,false
126,b,?,startwith(<low>): 76.9,76.9,0.034,([a-z]).*,false
17,b,?,contain(<->): 76.98,76.98,0.042,.*([-]).*,false
79,b,?,timeout,999999.0,40,null,false
80,b,?,"repeat(<num>,10): 76.62",76.62,0.05,([0-9]){10},false
71,b,?,star(notcc(<a>)): 153.74,153.74,0.669,([^a])*,false
38,b,?,"concat(notcc(<1>),repeatatleast(<num>,1)): 230.2",230.2,24.33,"([^1])(([0-9]){1,})",false
97,b,?,"concat(<%>,endwith(<%>)): 153.48000000000002",153.48000000000002,0.227,([%])(.*([%])),true
20,b,?,timeout,999999.0,40,null,false
25,b,?,"contain(or(<s>,<A>)): 153.76",153.76,3.176,.*((([s])|([A]))).*,false
59,b,?,"contain(or(<_>,<2>)): 153.76",153.76,5.015,.*((([_])|([2]))).*,false
125,b,?,"repeat(<let>,5): 76.62",76.62,0.075,([a-zA-Z]){5},false
76,b,?,"contain(concat(<let>,concat(<let>,<s>))): 230.06",230.06,16.468,.*(([a-zA-Z])(([a-zA-Z])([s]))).*,false
48,b,?,timeout,999999.0,40,null,false
52,b,?,timeout,999999.0,40,null,false
88,b,?,timeout,999999.0,40,null,false
45,b,?,timeout,999999.0,40,null,false
106,b,?,"repeatrange(notcc(<B>),1,26): 153.7",153.7,18.456,"([^B]){1,26}",false
