b,rank,sketch,p,cost,time,regex,gt
121,b,?,"endwith(or(<num>,<let>)): 153.72",153.72,0.397,.*((([0-9])|([a-zA-Z]))),true
105,b,?,timeout,999999.0,60,null,false
87,b,?,contain(<num1-9>): 76.98,76.98,0.035,.*([1-9]).*,false
64,b,?,startwith(<low>): 76.9,76.9,0.028,([a-z]).*,false
82,b,?,timeout,999999.0,60,null,false
109,b,?,timeout,999999.0,60,null,false
37,b,?,timeout,999999.0,60,null,false
123,b,?,timeout,999999.0,60,null,false
96,b,?,<let>: 0.0,0.0,0.0,[a-zA-Z],false
32,b,?,"concat(<num>,endwith(<num1-9>)): 153.48000000000002",153.48000000000002,0.145,([0-9])(.*([1-9])),false
7,b,?,timeout,999999.0,60,null,false
110,b,?,startwith(<{>): 76.9,76.9,0.03,([{]).*,true
61,b,?,"concat(<let>,repeatatleast(notcc(<)>),1)): 230.2",230.2,6.104,"([a-zA-Z])(([^)]){1,})",false
14,b,?,timeout,999999.0,60,null,false
11,b,?,"repeatatleast(notcc(<D>),1): 153.66",153.66,7.741,"([^D]){1,}",false
119,b,?,"concat(repeat(<num>,6),startwith(<.>)): 230.06",230.06,8.965,(([0-9]){6})(([.]).*),false
10,b,?,"contain(or(<let>,<3>)): 153.76",153.76,0.377,.*((([a-zA-Z])|([3]))).*,false
114,b,?,timeout,999999.0,60,null,false
104,b,?,contain(<cap>): 76.98,76.98,0.06,.*([A-Z]).*,false
31,b,?,endwith(<d>): 76.94,76.94,0.044,.*([d]),false
47,b,?,timeout,999999.0,60,null,false
6,b,?,timeout,999999.0,60,null,false
107,b,?,timeout,999999.0,60,null,false
73,b,?,timeout,999999.0,60,null,false
120,b,?,timeout,999999.0,60,null,false
72,b,?,"repeat(notcc(<f>),10): 153.62",153.62,3.684,([^f]){10},false
16,b,?,"concat(<num1-9>,contain(<0>)): 153.52",153.52,0.509,([1-9])(.*([0]).*),false
86,b,?,timeout,999999.0,60,null,false
94,b,?,timeout,999999.0,60,null,false
23,b,?,timeout,999999.0,60,null,false
13,b,?,"concat(<num>,concat(or(<num>,<.>),repeatrange(<num1-9>,1,3))): 306.56000000000006",306.56000000000006,34.84,"([0-9])(((([0-9])|([.])))(([1-9]){1,3}))",false
62,b,?,endwith(<num>): 76.94,76.94,0.035,.*([0-9]),false
65,b,?,timeout,999999.0,60,null,false
113,b,?,"concat(<cap>,endwith(concat(<num1-9>,<num>))): 230.02000000000004",230.02000000000004,8.0,([A-Z])(.*(([1-9])([0-9]))),false
29,b,?,timeout,999999.0,60,null,false
124,b,?,"concat(endwith(<2>),optional(<#>)): 230.06",230.06,5.134,(.*([2]))(([#])?),false
19,b,?,timeout,999999.0,60,null,false
5,b,?,timeout,999999.0,60,null,false
85,b,?,timeout,999999.0,60,null,false
116,b,?,"not(contain(concat(<_>,<_>))): 230.38",230.38,25.223,~(.*(([_])([_])).*),true
21,b,?,timeout,999999.0,60,null,false
9,b,?,timeout,999999.0,60,null,false
58,b,?,star(<cap>): 76.74,76.74,0.024,([A-Z])*,false
