b,rank,sketch,p,cost,time,regex,gt
121,b,?,startwith(<low>): 76.9,76.9,0.032,([a-z]).*,false
105,b,?,startwith(<cap>): 76.9,76.9,0.039,([A-Z]).*,false
87,b,?,startwith(<num>): 76.9,76.9,0.032,([0-9]).*,false
64,b,?,startwith(<low>): 76.9,76.9,0.034,([a-z]).*,false
82,b,?,startwith(<num>): 76.9,76.9,0.027,([0-9]).*,false
109,b,?,"repeatatleast(<low>,1): 76.66",76.66,0.069,"([a-z]){1,}",false
37,b,?,"or(<let>,contain(<@>)): 153.76",153.76,0.314,(([a-zA-Z])|(.*([@]).*)),false
123,b,?,contain(<low>): 76.98,76.98,0.04,.*([a-z]).*,false
96,b,?,<let>: 0.0,0.0,0.0,[a-zA-Z],false
32,b,?,startwith(<num>): 76.9,76.9,0.03,([0-9]).*,false
7,b,?,startwith(<M>): 76.9,76.9,0.05,([M]).*,false
110,b,?,startwith(<{>): 76.9,76.9,0.039,([{]).*,true
61,b,?,startwith(<cap>): 76.9,76.9,0.047,([A-Z]).*,false
14,b,?,contain(<num>): 76.98,76.98,0.04,.*([0-9]).*,false
11,b,?,"repeatatleast(<cap>,1): 76.66",76.66,0.063,"([A-Z]){1,}",false
119,b,?,startwith(<num1-9>): 76.9,76.9,0.025,([1-9]).*,false
10,b,?,startwith(optional(<C>)): 153.48000000000002,153.48000000000002,0.211,(([C])?).*,false
114,b,?,startwith(<num1-9>): 76.9,76.9,0.029,([1-9]).*,false
104,b,?,contain(<cap>): 76.98,76.98,0.052,.*([A-Z]).*,false
31,b,?,startwith(<num1-9>): 76.9,76.9,0.034,([1-9]).*,false
47,b,?,contain(<.>): 76.98,76.98,0.027,.*([.]).*,false
6,b,?,startwith(<num1-9>): 76.9,76.9,0.039,([1-9]).*,false
107,b,?,startwith(<num>): 76.9,76.9,0.032,([0-9]).*,false
73,b,?,startwith(<num>): 76.9,76.9,0.031,([0-9]).*,false
120,b,?,"repeat(<low>,4): 76.62",76.62,0.044,([a-z]){4},false
72,b,?,startwith(<F>): 76.9,76.9,0.036,([F]).*,false
16,b,?,startwith(<num1-9>): 76.9,76.9,0.034,([1-9]).*,false
86,b,?,startwith(optional(<3>)): 153.48000000000002,153.48000000000002,0.169,(([3])?).*,false
94,b,?,startwith(<num>): 76.9,76.9,0.026,([0-9]).*,false
23,b,?,startwith(<num1-9>): 76.9,76.9,0.027,([1-9]).*,false
13,b,?,startwith(<num>): 76.9,76.9,0.025,([0-9]).*,false
62,b,?,startwith(<num1-9>): 76.9,76.9,0.024,([1-9]).*,false
65,b,?,startwith(<num1-9>): 76.9,76.9,0.028,([1-9]).*,false
113,b,?,startwith(<P>): 76.9,76.9,0.038,([P]).*,false
29,b,?,endwith(<num1-9>): 76.94,76.94,0.035,.*([1-9]),false
124,b,?,startwith(<G>): 76.9,76.9,0.037,([G]).*,false
19,b,?,startwith(<num>): 76.9,76.9,0.026,([0-9]).*,false
5,b,?,"repeat(<num>,2): 76.62",76.62,0.041,([0-9]){2},false
