b,rank,sketch,p,cost,time,regex,gt
121,b,?,"startwith(repeat(<low>,8)): 153.52",153.52,0.616,(([a-z]){8}).*,false
105,b,?,timeout,999999.0,60,null,false
87,b,?,contain(<num1-9>): 76.98,76.98,0.034,.*([1-9]).*,false
64,b,?,startwith(<low>): 76.9,76.9,0.036,([a-z]).*,false
82,b,?,timeout,999999.0,60,null,false
109,b,?,timeout,999999.0,60,null,false
37,b,?,timeout,999999.0,60,null,false
123,b,?,"startwith(or(<let>,<_>)): 153.68",153.68,1.084,((([a-zA-Z])|([_]))).*,false
96,b,?,<let>: 0.0,0.0,0.0,[a-zA-Z],false
32,b,?,"concat(<num>,endwith(<num1-9>)): 153.48000000000002",153.48000000000002,0.184,([0-9])(.*([1-9])),false
7,b,?,timeout,999999.0,60,null,false
110,b,?,startwith(<{>): 76.9,76.9,0.087,([{]).*,true
61,b,?,"repeatatleast(notcc(<I>),11): 153.66",153.66,12.271,"([^I]){11,}",false
14,b,?,timeout,999999.0,60,null,false
11,b,?,"repeatatleast(notcc(<D>),1): 153.66",153.66,12.125,"([^D]){1,}",false
119,b,?,startwith(<num1-9>): 76.9,76.9,0.039,([1-9]).*,false
10,b,?,"contain(or(<let>,<3>)): 153.76",153.76,0.544,.*((([a-zA-Z])|([3]))).*,false
114,b,?,endwith(<num1-9>): 76.94,76.94,0.04,.*([1-9]),false
104,b,?,contain(<cap>): 76.98,76.98,0.071,.*([A-Z]).*,false
31,b,?,endwith(<d>): 76.94,76.94,0.045,.*([d]),false
47,b,?,timeout,999999.0,60,null,false
6,b,?,timeout,999999.0,60,null,false
107,b,?,timeout,999999.0,60,null,false
73,b,?,timeout,999999.0,60,null,false
120,b,?,"concat(<let>,contain(<h>)): 153.52",153.52,29.498,([a-zA-Z])(.*([h]).*),false
72,b,?,"repeat(notcc(<f>),10): 153.62",153.62,5.795,([^f]){10},false
16,b,?,"concat(<num1-9>,contain(<0>)): 153.52",153.52,1.249,([1-9])(.*([0]).*),false
86,b,?,timeout,999999.0,60,null,false
94,b,?,timeout,999999.0,60,null,false
23,b,?,timeout,999999.0,60,null,false
13,b,?,timeout,999999.0,60,null,false
62,b,?,endwith(<num>): 76.94,76.94,0.094,.*([0-9]),false
65,b,?,timeout,999999.0,60,null,false
113,b,?,endwith(<0>): 76.94,76.94,0.096,.*([0]),false
29,b,?,timeout,999999.0,60,null,false
124,b,?,startwith(<G>): 76.9,76.9,0.08,([G]).*,false
19,b,?,timeout,999999.0,60,null,false
5,b,?,timeout,999999.0,60,null,false
85,b,?,timeout,999999.0,60,null,false
